创建了新的github文件
再次创建
NO. 	X(m) 	Y(m) 	Z(m) 	T(ms) 	Voltage(nv/(Am^2)) 	Distance(m) 	Resistivity(ohm.m) 	Depth(m)
9 	0.0 	9.0 	0.0 	1.32000E-01 	7.60820E06 	9.0000 	0.0005 	-0.1797
9 	0.0 	9.0 	0.0 	1.75500E-01 	4.46392E06 	9.0000 	0.0004 	-0.1952
9 	0.0 	9.0 	0.0 	2.34000E-01 	2.18590E06 	9.0000 	0.0004 	-0.2250
9 	0.0 	9.0 	0.0 	3.13000E-01 	8.39038E05 	9.0000 	0.0005 	-0.2810
9 	0.0 	9.0 	0.0 	4.20500E-01 	2.30682E05 	9.0000 	0.0007 	-0.3916
9 	0.0 	9.0 	0.0 	5.66500E-01 	4.07003E04 	9.0000 	0.0014 	-0.6321
9 	0.0 	9.0 	0.0 	7.64500E-01 	3.98095E03 	9.0000 	0.0040 	-1.2416
9 	0.0 	9.0 	0.0 	1.03300E00 	1.56756E01 	9.0000 	0.0979 	-7.1118
10 	0.0 	10.0 	0.0 	7.50000E-03 	3.60469E07 	10.0000 	0.0206 	-0.2783
10 	0.0 	10.0 	0.0 	1.00000E-02 	3.43594E07 	10.0000 	0.0132 	-0.2569
10 	0.0 	10.0 	0.0 	1.30000E-02 	3.36225E07 	10.0000 	0.0086 	-0.2371
10 	0.0 	10.0 	0.0 	1.65000E-02 	3.16745E07 	10.0000 	0.0060 	-0.2234
10 	0.0 	10.0 	0.0 	2.10000E-02 	2.98674E07 	10.0000 	0.0042 	-0.2102
10 	0.0 	10.0 	0.0 	2.70000E-02 	2.78742E07 	10.0000 	0.0029 	-0.1978
10 	0.0 	10.0 	0.0 	3.50000E-02 	2.52552E07 	10.0000 	0.0020 	-0.1875
10 	0.0 	10.0 	0.0 	4.55000E-02 	2.21578E07 	10.0000 	0.0014 	-0.1794
10 	0.0 	10.0 	0.0 	5.90000E-02 	1.87568E07 	10.0000 	0.0010 	-0.1739
10 	0.0 	10.0 	0.0 	7.65000E-02 	1.51094E07 	10.0000 	0.0008 	-0.1714
10 	0.0 	10.0 	0.0 	1.00000E-01 	1.13097E07 	10.0000 	0.0006 	-0.1727
10 	0.0 	10.0 	0.0 	1.32000E-01 	7.63255E06 	10.0000 	0.0005 	-0.1795
10 	0.0 	10.0 	0.0 	1.75500E-01 	4.47964E06 	10.0000 	0.0004 	-0.1949
10 	0.0 	10.0 	0.0 	2.34000E-01 	2.19432E06 	10.0000 	0.0004 	-0.2247
10 	0.0 	10.0 	0.0 	3.13000E-01 	8.42632E05 	10.0000 	0.0005 	-0.2806
